Respondent id number,Region of interview,Rs religious preference,Was r's work part-time or full-time?,Sexual orientation,Rs income in constant $,Hispanic specified,Race of household,Ballot used for interview,R's socioeconomic index (2010),Rs family income when 16 yrs old,Race of respondent,Respondents sex,Number of hours worked last week,R self-emp or works for somebody,Marital status,Number of children,Age of respondent,Highest year of school completed,"Highest year school completed, father","Highest year school completed, mother","Highest year school completed, spouse",Total family income
687,W. sou. central,Protestant,Full-time,Heterosexual or straight,0,Not hispanic,Black,Ballot b,9,Below average,Black,Female,40,Someone else,Never married,0,19,12,Not applicable,16,Not applicable,$40000 to 49999
688,W. sou. central,Catholic,Not applicable,Not applicable,0,Honduran,White,Ballot a,-1,Below average,Other,Male,Not applicable,Not applicable,Never married,0,19,10,Not applicable,0,Not applicable,$50000 to 59999
689,W. sou. central,Protestant,Full-time,Not applicable,11115,Not hispanic,Black,Ballot c,24.2,Average,Black,Female,36,Someone else,Married,0,48,14,6,0,18,$40000 to 49999
690,W. sou. central,Protestant,Full-time,Not applicable,25740,Not hispanic,Black,Ballot c,38.8,Below average,Black,Male,40,Someone else,Married,0,27,12,Not applicable,12,16,$50000 to 59999
691,W. sou. central,None,Full-time,Not applicable,0,Salvadorian,White,Ballot a,56.9,Average,White,Female,30,Someone else,Married,3,33,12,Don't know,6,12,$50000 to 59999
692,W. sou. central,Protestant,Not applicable,Not applicable,0,Not hispanic,Black,Ballot b,21.3,Below average,Black,Male,Not applicable,Someone else,Widowed,4,79,9,0,0,Not applicable,$15000 to 17499
693,W. sou. central,Protestant,Full-time,Not applicable,9945,Not hispanic,Black,Ballot a,17.5,Far below average,Black,Male,40,Someone else,Separated,3,56,11,Don't know,15,Not applicable,$22500 to 24999
694,W. sou. central,Catholic,Full-time,Not applicable,12870,"Mexican, mexican american, chicano/a",White,Ballot a,24.1,Average,White,Male,Not applicable,Someone else,Married,3,53,9,1,0,8,$25000 to 29999
695,W. sou. central,Protestant,Part-time,Not applicable,3042,Not hispanic,Black,Ballot c,31.2,Average,Other,Male,8,Self-employed,Never married,5,32,12,12,12,Not applicable,$6 000 to 6 999
696,W. sou. central,Catholic,Full-time,Heterosexual or straight,0,Not hispanic,Black,Ballot c,20.7,Average,Black,Male,40,Someone else,Never married,0,21,13,14,12,Not applicable,$22500 to 24999
697,W. sou. central,Catholic,Full-time,Heterosexual or straight,46800,"Mexican, mexican american, chicano/a",White,Ballot b,25.2,Average,White,Male,84,Self-employed,Married,3,42,7,6,5,7,$90000 to $109999
698,W. sou. central,No answer,Not applicable,No answer,7605,Not hispanic,"Other, mixed",Ballot b,37.2,Average,Black,Female,40,Someone else,Never married,0,28,12,Not applicable,12,Not applicable,$15000 to 17499
699,W. sou. central,Catholic,Part-time,Not applicable,2106,"Mexican, mexican american, chicano/a",White,Ballot a,21.8,Far below average,White,Female,25,Someone else,Separated,1,22,5,5,6,Not applicable,$20000 to 22499
700,W. sou. central,Catholic,Full-time,Heterosexual or straight,21060,"Mexican, mexican american, chicano/a",White,Ballot c,52.1,Average,Other,Male,40,Someone else,Married,2,40,13,12,10,14,$60000 to 74999
701,W. sou. central,None,Full-time,Heterosexual or straight,0,Not hispanic,White,Ballot b,31.1,Average,White,Male,84,Self-employed,Never married,1,44,11,16,12,Not applicable,$75000 to $89999
702,W. sou. central,Catholic,Part-time,Not applicable,9945,Salvadorian,White,Ballot a,38.2,Below average,White,Male,Not applicable,Someone else,Never married,0,22,15,14,12,Not applicable,$75000 to $89999
703,W. sou. central,None,Not applicable,Not applicable,0,Not hispanic,"Asiatic, oriental",Ballot a,87.9,Below average,Other,Female,Not applicable,Someone else,Married,0,35,16,16,12,16,$4 000 to 4 999
704,W. sou. central,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,26.1,Below average,White,Female,Not applicable,Someone else,Married,2,64,12,9,Not applicable,14,$75000 to $89999
705,W. sou. central,Protestant,Full-time,Heterosexual or straight,25740,Not hispanic,Black,Ballot b,80.9,Above average,Black,Female,1,Someone else,Divorced,3,40,16,16,16,Not applicable,$50000 to 59999
706,W. sou. central,Protestant,Part-time,Heterosexual or straight,3042,Dominican,Black,Ballot b,50.3,Average,Black,Female,40,Someone else,Divorced,2,36,19,18,18,Not applicable,$25000 to 29999
707,W. sou. central,Catholic,Full-time,Heterosexual or straight,0,"Mexican, mexican american, chicano/a",White,Ballot c,13.6,Far below average,White,Female,54,Someone else,Married,2,51,12,8,3,6,$30000 to 34999
708,W. sou. central,None,Full-time,Heterosexual or straight,17550,"Mexican, mexican american, chicano/a",White,Ballot b,61.4,Above average,White,Male,45,Someone else,Married,3,54,9,3,6,10,$50000 to 59999
709,W. sou. central,Catholic,Full-time,Not applicable,25740,"Mexican, mexican american, chicano/a",White,Ballot a,51.9,Average,White,Male,40,Someone else,Separated,3,36,12,Not applicable,9,Not applicable,$60000 to 74999
710,W. sou. central,Catholic,Full-time,Not applicable,8775,"Mexican, mexican american, chicano/a",White,Ballot b,12.6,Far below average,White,Female,Not applicable,Someone else,Separated,6,44,6,0,0,Not applicable,$17500 to 19999
711,W. sou. central,None,Part-time,Heterosexual or straight,2574,Cuban,White,Ballot c,36.2,Far below average,Black,Male,72,Someone else,Married,1,37,12,12,17,17,$50000 to 59999
712,W. sou. central,Catholic,Full-time,Heterosexual or straight,936,Cuban,White,Ballot b,20.7,Average,White,Female,77,Someone else,Divorced,1,50,18,Not applicable,0,Not applicable,Don't know
713,W. sou. central,Catholic,Full-time,Not applicable,9945,Cuban,White,Ballot a,38.1,Far below average,Other,Female,50,Someone else,Married,0,25,16,17,20,12,$30000 to 34999
714,W. sou. central,Protestant,Full-time,Not applicable,9945,Honduran,White,Ballot c,45.4,Far below average,Other,Male,40,Someone else,Separated,3,44,0,0,0,Not applicable,$20000 to 22499
715,W. sou. central,Protestant,Part-time,Not applicable,0,"Mexican, mexican american, chicano/a",White,Ballot b,37.6,Below average,White,Female,Not applicable,Someone else,Married,1,22,12,Not applicable,12,12,$35000 to 39999
716,W. sou. central,None,Full-time,Not applicable,17550,Cuban,White,Ballot a,19.7,Below average,White,Female,65,Someone else,Separated,3,40,6,12,9,Not applicable,$60000 to 74999
717,W. sou. central,Catholic,Not applicable,Heterosexual or straight,0,"Mexican, mexican american, chicano/a",White,Ballot c,-1,Below average,Other,Female,Not applicable,Not applicable,Married,3,28,12,14,12,12,$22500 to 24999
718,W. sou. central,Catholic,Not applicable,Heterosexual or straight,0,"Mexican, mexican american, chicano/a",White,Ballot b,38.8,Average,White,Female,Not applicable,Someone else,Married,3,40,12,17,6,17,$20000 to 22499
719,W. sou. central,Protestant,Full-time,Not applicable,21060,Nicaraguan,"Other, mixed",Ballot a,61.9,Below average,Other,Female,40,Someone else,Married,0,59,14,Not applicable,6,13,$50000 to 59999
720,W. sou. central,No answer,Not applicable,Heterosexual or straight,0,"Mexican, mexican american, chicano/a",White,Ballot b,-1,Above average,White,Female,Not applicable,Not applicable,Divorced,0,37,12,Not applicable,12,Not applicable,Refused
721,W. sou. central,None,Part-time,Not applicable,0,"Mexican, mexican american, chicano/a",White,Ballot a,61.4,Below average,White,Male,48,Someone else,Never married,0,26,17,12,12,Not applicable,$35000 to 39999
722,W. sou. central,Catholic,Full-time,Heterosexual or straight,31590,"Mexican, mexican american, chicano/a",White,Ballot c,27,Average,White,Male,68,Self-employed,Married,1,27,14,12,12,16,$150000 to $169999
723,W. sou. central,Catholic,Part-time,Not applicable,7605,Not hispanic,White,Ballot a,20.1,Above average,White,Female,Not applicable,Someone else,Never married,0,69,12,Don't know,12,Not applicable,$60000 to 74999
724,W. sou. central,Protestant,Part-time,Not applicable,2574,Salvadorian,White,Ballot c,27,Below average,White,Female,10,Someone else,Never married,1,53,12,12,6,Not applicable,Refused
725,W. sou. central,Protestant,Not applicable,Not applicable,0,Not hispanic,Black,Ballot a,39.7,Average,Black,Male,Not applicable,Someone else,Divorced,6,52,12,10,11,Not applicable,Refused
726,W. sou. central,Catholic,Full-time,Heterosexual or straight,17550,"Mexican, mexican american, chicano/a",White,Ballot b,62.6,Average,White,Male,40,Someone else,Divorced,0,42,14,Not applicable,12,Not applicable,$35000 to 39999
727,W. sou. central,None,Part-time,Not applicable,936,"Mexican, mexican american, chicano/a",White,Ballot c,27,Far above average,White,Female,10,Someone else,Married,5,60,6,0,0,6,$10000 to 12499
728,W. sou. central,None,Full-time,Heterosexual or straight,65520,Not hispanic,White,Ballot c,62,Below average,White,Male,40,Someone else,Divorced,2,60,16,11,12,Not applicable,$130000 to $149999
729,W. sou. central,Protestant,Full-time,Not applicable,38610,Not hispanic,Black,Ballot a,80.7,Above average,Black,Female,Not applicable,Someone else,Divorced,2,59,16,16,16,Not applicable,$75000 to $89999
730,W. sou. central,None,Full-time,Not applicable,0,"Mexican, mexican american, chicano/a",White,Ballot a,54.3,Below average,Other,Male,Not applicable,Someone else,Divorced,1,57,14,3,5,Not applicable,$6 000 to 6 999
731,South atlantic,Protestant,Full-time,Heterosexual or straight,234,Not hispanic,Black,Ballot b,20.1,Below average,Black,Female,25,Someone else,Never married,0,30,13,Not applicable,12,Not applicable,$3 000 to 3 999
732,South atlantic,Protestant,Full-time,Heterosexual or straight,11115,Not hispanic,Black,Ballot c,80.9,Below average,White,Female,Not applicable,Someone else,Never married,2,37,14,Not applicable,14,Not applicable,$22500 to 24999
733,South atlantic,Catholic,Part-time,Heterosexual or straight,3042,Latino/a,"Other, mixed",Ballot c,13.6,Far below average,White,Female,Not applicable,Someone else,Never married,4,40,14,12,3,Not applicable,Don't know
734,South atlantic,Protestant,Full-time,Heterosexual or straight,2106,Not hispanic,Black,Ballot b,17.1,Average,Black,Male,40,Someone else,Married,1,33,15,12,12,15,$4 000 to 4 999
735,South atlantic,Protestant,Full-time,Heterosexual or straight,17550,Not hispanic,Black,Ballot c,57.8,Below average,Black,Female,Not applicable,Someone else,Divorced,3,51,15,16,4,Not applicable,$35000 to 39999
736,South atlantic,Protestant,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot b,46.2,Average,White,Male,45,Someone else,Married,2,46,14,13,12,14,$75000 to $89999
737,South atlantic,Protestant,Full-time,Heterosexual or straight,31590,Not hispanic,Black,Ballot b,82.5,Above average,Black,Female,60,Someone else,Married,0,52,16,12,15,12,$90000 to $109999
738,South atlantic,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,Black,Ballot c,21,Average,Black,Female,Not applicable,Someone else,Widowed,0,No answer,20,14,16,Not applicable,$60000 to 74999
739,South atlantic,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,46.6,Average,White,Female,Not applicable,Someone else,Married,3,77,13,4,7,12,$30000 to 34999
740,South atlantic,Protestant,Full-time,Heterosexual or straight,15210,Not hispanic,White,Ballot c,76.3,Average,White,Female,32,Someone else,Married,0,56,16,12,8,12,$75000 to $89999
741,South atlantic,No answer,Full-time,Not applicable,15210,Not hispanic,White,Ballot a,59.1,Average,White,Male,48,Someone else,Married,1,25,12,11,10,13,$110000 to $129999
742,South atlantic,Protestant,Full-time,Not applicable,31590,Not hispanic,White,Ballot a,21.8,Below average,White,Female,58,Someone else,Divorced,2,48,13,16,Not applicable,Not applicable,$75000 to $89999
743,South atlantic,Other,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,26.5,Above average,White,Male,Not applicable,Someone else,Divorced,1,61,12,13,12,Not applicable,$17500 to 19999
744,South atlantic,None,Part-time,Bisexual,0,Not hispanic,White,Ballot b,-1,Below average,White,Female,Not applicable,Not applicable,Never married,0,19,13,Not applicable,15,Not applicable,$75000 to $89999
745,South atlantic,None,Part-time,Not applicable,0,"Mexican, mexican american, chicano/a","Other, mixed",Ballot a,12.6,Average,Other,Female,20,Self-employed,Married,2,36,6,6,6,6,$130000 to $149999
746,South atlantic,Catholic,Part-time,Heterosexual or straight,5265,Not hispanic,Black,Ballot c,13.6,Average,Black,Female,30,Someone else,Never married,0,28,15,15,15,Not applicable,Don't know
747,South atlantic,None,Full-time,Not applicable,11115,Not hispanic,"Other, mixed",Ballot a,19.6,Average,Black,Male,70,Someone else,Never married,0,23,16,Not applicable,16,Not applicable,$22500 to 24999
748,South atlantic,Moslem/islam,Full-time,Heterosexual or straight,11115,Not hispanic,Black,Ballot c,37.2,Above average,Black,Female,55,Someone else,Never married,0,29,15,12,12,Not applicable,$30000 to 34999
749,South atlantic,Catholic,Full-time,Heterosexual or straight,38610,Not hispanic,Black,Ballot b,31.6,Above average,White,Male,40,Self-employed,Divorced,1,69,18,12,12,Not applicable,$75000 to $89999
750,South atlantic,Other,Full-time,Heterosexual or straight,12870,Not hispanic,White,Ballot b,64.5,Below average,Black,Male,40,Someone else,Never married,0,35,16,Not applicable,15,Not applicable,$40000 to 49999
751,South atlantic,Protestant,Full-time,Heterosexual or straight,5265,Not hispanic,Black,Ballot c,41.1,Below average,Black,Female,40,Someone else,Divorced,1,38,14,8,8,Not applicable,$12500 to 14999
752,South atlantic,Protestant,Full-time,Not applicable,21060,Not hispanic,Black,Ballot b,20.1,Far below average,Black,Female,40,Someone else,Never married,1,31,14,20,16,Not applicable,$40000 to 49999
753,South atlantic,Protestant,Part-time,Heterosexual or straight,7605,Not hispanic,Black,Ballot b,33.4,Average,Black,Female,33,Someone else,Never married,0,42,14,Not applicable,12,Not applicable,$15000 to 17499
754,South atlantic,None,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,84.5,Above average,White,Male,Not applicable,Someone else,Married,1,78,18,17,12,17,$75000 to $89999
755,South atlantic,Catholic,Full-time,Heterosexual or straight,7605,"Mexican, mexican american, chicano/a","Other, mixed",Ballot b,20.7,Don't know,Other,Female,16,Someone else,Widowed,2,31,10,Not applicable,10,Not applicable,Don't know
756,South atlantic,Protestant,Not applicable,Not applicable,0,Central american,"Other, mixed",Ballot a,12.6,Below average,Other,Female,Not applicable,Someone else,Separated,3,67,11,0,0,Not applicable,Don't know
757,South atlantic,Protestant,Full-time,Heterosexual or straight,31590,Puerto rican,White,Ballot c,73.5,Far below average,White,Female,40,Someone else,Married,2,48,16,6,3,12,$90000 to $109999
758,South atlantic,Other eastern,Full-time,Not applicable,65520,Not hispanic,Black,Ballot a,38.1,Below average,Black,Male,40,Someone else,Married,3,68,14,12,8,14,$150000 to $169999
759,South atlantic,Protestant,Full-time,Heterosexual or straight,21060,Not hispanic,Black,Ballot c,25,Below average,Black,Male,75,Someone else,Never married,6,42,12,Not applicable,12,Not applicable,$90000 to $109999
760,South atlantic,None,Part-time,Not applicable,8775,Not hispanic,White,Ballot a,69.5,Average,White,Female,46,Someone else,Married,1,65,14,10,12,15,$110000 to $129999
761,South atlantic,None,Not applicable,"Gay, lesbian, or homosexual",0,Not hispanic,White,Ballot b,54.6,Far below average,White,Female,Not applicable,Self-employed,Divorced,3,44,11,10,8,Not applicable,$110000 to $129999
762,South atlantic,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,38.8,Below average,White,Female,Not applicable,Someone else,Widowed,2,77,13,10,12,Not applicable,$40000 to 49999
763,South atlantic,Protestant,Full-time,Not applicable,56160,Not hispanic,White,Ballot a,69.3,Average,White,Female,40,Someone else,Married,3,62,14,12,12,10,$110000 to $129999
764,South atlantic,Catholic,Part-time,Heterosexual or straight,5265,Not hispanic,White,Ballot c,59.1,Above average,White,Male,40,Someone else,Divorced,2,51,8,Not applicable,12,Not applicable,$10000 to 12499
765,South atlantic,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,Black,Ballot b,-1,Don't know,Black,Female,Not applicable,Not applicable,Never married,0,21,12,13,14,Not applicable,Don't know
766,South atlantic,Protestant,Full-time,Heterosexual or straight,17550,Not hispanic,White,Ballot c,71.6,Above average,White,Female,60,Someone else,Divorced,1,28,12,Not applicable,6,Not applicable,$75000 to $89999
767,South atlantic,Protestant,Part-time,Heterosexual or straight,0,Not hispanic,White,Ballot b,-1,Average,White,Female,Not applicable,Not applicable,Never married,0,20,13,16,16,Not applicable,$50000 to 59999
768,South atlantic,Protestant,Part-time,Heterosexual or straight,234,Not hispanic,White,Ballot b,38.3,Average,White,Female,20,Someone else,Never married,0,19,12,16,16,Not applicable,$50000 to 59999
